Night_date,Latitude,Longitude,Region,Site,BandID,Species,Sex,Ageclass,Massg,Massinacuracy,Forearmlengthmm,Earlengthmm,Reproductivestatus,Comments,Capturetime,Releasetime
5/13/11,60.09,-112.25,Salt River,Thebacha cabins,UC0001,Myotis lucifugus,Female,Adult,8,,39.90000153,12,NOP,"Band on right; flea, bed bug",23:12,0:10
5/13/11,60.09,-112.25,Salt River,Thebacha cabins,UC0002,Myotis lucifugus,Female,Adult,11.5,,34.09999847,10,NOP,Band on right; fleas on ears,3:06,3:35
5/13/11,60.09,-112.25,Salt River,Thebacha cabins,UC0003,Myotis lucifugus,Female,Adult,10.5,,37.90000153,11,NOP,Band on right; fleas on ears; orange item/bug in ear,3:25,3:40
5/16/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0004,Myotis lucifugus,Female,Adult,7.400000095,,38.90000153,10,NOP,fleas on chin; wing photo taken,21:35,0:18
5/16/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0006,Myotis lucifugus,Female,Adult,8.899999619,,39.29999924,10,NOP,,23:15,0:18
5/16/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0008,Myotis lucifugus,Female,Adult,8,,38.70000076,12,NOP,,23:40,0:18
5/16/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0009,Myotis lucifugus,Male,Adult,8.100000381,,38.09999847,12,,,23:40,0:18
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0005,Myotis lucifugus,Female,Adult,8.699999809,,38.09999847,11,NOP,,23:04,0:10
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0012,Myotis lucifugus,Female,Adult,10.10000038,,40.20000076,13,NOP,rotund,23:07,0:15
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0014,Myotis lucifugus,Female,Adult,9,,38.70000076,13,NOP,,23:07,0:20
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0015,Myotis lucifugus,Female,Adult,9.100000381,,38.20000076,13,NOP,rotund,23:07,0:25
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0016,Myotis lucifugus,Female,Adult,9,,40.09999847,13,NOP,,23:17,0:35
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0018,Myotis lucifugus,Female,Adult,8.399999619,,40.09999847,13,NOP,Bed bug,23:22,0:40
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0019,Myotis lucifugus,Female,Adult,9.5,,41.5,13,NOP,,23:33,0:45
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0020,Myotis lucifugus,Female,Adult,9.600000381,,36.90000153,12,NOP,,0:01,0:50
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0021,Myotis lucifugus,Female,Adult,8.100000381,,37.70000076,12,NOP,White spot R wing (photo),0:01,0:55
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0022,Myotis lucifugus,Female,Adult,8.600000381,,37.79999924,12,NOP,,0:55,2:05
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0023,Myotis lucifugus,Female,Adult,12.19999981,*,38.09999847,13,NOP,Not held 1 hour,2:57,3:05
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0024,Myotis lucifugus,Female,Adult,13.10000038,*,39.70000076,,NOP,Not held 1 hour,3:07,3:10
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0025,Myotis lucifugus,Female,Adult,11.89999962,*,38.40000153,,NOP,Not held 1 hour,3:10,3:15
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0026,Myotis lucifugus,Female,Adult,11.80000019,*,39.5,,NOP,Not held 1 hour,3:10,3:17
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0027,Myotis lucifugus,Female,Adult,14.10000038,*,40.29999924,,NOP,Not held 1 hour,3:10,3:20
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0028,Myotis lucifugus,Female,Adult,12.10000038,*,39.29999924,,NOP,Not held 1 hour,3:10,3:22
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0029,Myotis lucifugus,Female,Adult,11.69999981,*,39.59999847,,NOP,Not held 1 hour,3:10,3:24
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0030,Myotis lucifugus,Female,Adult,13.5,*,40.59999847,,NOP,Not held 1 hour,3:10,3:26
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0031,Myotis lucifugus,Female,Adult,10.89999962,*,37.40000153,,NOP,Not held 1 hour,3:10,3:28
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0032,Myotis lucifugus,Female,Adult,12.80000019,*,41.70000076,,NOP,Not held 1 hour,3:10,3:30
5/20/11,60.09,-112.25,Salt River,Thebacha cabins,UC0033,Myotis lucifugus,Female,Adult,11.89999962,*,38.70000076,,NOP,Not held 1 hour,3:10,3:33
5/25/11,60.09,-112.25,Salt River,Thebacha cabins,UC0034,Myotis lucifugus,Female,Adult,7.099999905,,38.79999924,12,NOP,taken off side of cabin; placed back,22:00,
5/26/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0035,Myotis lucifugus,Female,Adult,7.599999905,,39.90000153,11,NOP,,22:58,
5/26/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0036,Myotis lucifugus,Female,Adult,5.800000191,,36.90000153,12,NOP,,22:52,
5/26/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0038,Myotis lucifugus,Male,Adult,7.5,,37,13,,,23:16,
5/26/11,59.7,-112.2,Wood Buffalo NP,Walk-in Cave,UC0039,Myotis lucifugus,Female,Adult,8.199999809,,38,14,NOP,,23:50,
5/29/11,60.04,-112.73,Little Buffalo Falls,NTBP,UC0040,Myotis lucifugus,Male,Adult,8.800000191,,38.70000076,13,,Ambient temperature: 3C @ 00:45,0:14,0:53
5/29/11,60.04,-112.73,Little Buffalo Falls,NTBP,UC0041,Myotis lucifugus,Male,Adult,7.099999905,,37.59999847,13,,,0:41,0:59
5/29/11,60.04,-112.73,Little Buffalo Falls,NTBP,UC0042,Myotis lucifugus,Female,Adult,6.800000191,,37.90000153,13,NOP,fleas,0:18,1:05
5/29/11,60.04,-112.73,Little Buffalo Falls,NTBP,UC0043,Myotis lucifugus,Male,Adult,7.5,,38.20000076,11,,fleas,0:20,1:12
6/5/11,59.74,-112.22,Wood Buffalo NP,WBBP,UC0044,Myotis lucifugus,Male,Adult,7.800000191,,37.20000076,10,,mud on wings,11:25-12:25,
