Site,Lat,Lon,night_date,Myotis,Detector Active,Site type
NTBP,60.04,-112.73,5/21/2011,16,Yes,Foraging site
NTBP,60.04,-112.73,5/22/2011,1,Yes,Foraging site
NTBP,60.04,-112.73,5/23/2011,5,Yes,Foraging site
NTBP,60.04,-112.73,5/24/2011,1,Yes,Foraging site
NTBP,60.04,-112.73,5/25/2011,5,Yes,Foraging site
NTBP,60.04,-112.73,5/26/2011,12,Yes,Foraging site
NTBP,60.04,-112.73,5/27/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,5/28/2011,2,Yes,Foraging site
NTBP,60.04,-112.73,5/29/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,6/28/2011,0,No,Foraging site
NTBP,60.04,-112.73,6/29/2011,1,Yes,Foraging site
NTBP,60.04,-112.73,6/30/2011,5,Yes,Foraging site
NTBP,60.04,-112.73,7/1/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,7/2/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,7/3/2011,20,Yes,Foraging site
NTBP,60.04,-112.73,7/4/2011,,No,Foraging site
NTBP,60.04,-112.73,7/11/2011,,No,Foraging site
NTBP,60.04,-112.73,7/14/2011,24,Yes,Foraging site
NTBP,60.04,-112.73,7/15/2011,2,Yes,Foraging site
NTBP,60.04,-112.73,7/16/2011,13,Yes,Foraging site
NTBP,60.04,-112.73,7/17/2011,15,Yes,Foraging site
NTBP,60.04,-112.73,7/18/2011,26,Yes,Foraging site
NTBP,60.04,-112.73,7/19/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,7/26/2011,48,Yes,Foraging site
NTBP,60.04,-112.73,7/27/2011,83,Yes,Foraging site
NTBP,60.04,-112.73,7/28/2011,100,Yes,Foraging site
NTBP,60.04,-112.73,7/29/2011,71,Yes,Foraging site
NTBP,60.04,-112.73,7/30/2011,50,Yes,Foraging site
NTBP,60.04,-112.73,7/31/2011,43,Yes,Foraging site
NTBP,60.04,-112.73,8/1/2011,109,Yes,Foraging site
NTBP,60.04,-112.73,8/2/2011,43,Yes,Foraging site
NTBP,60.04,-112.73,8/3/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,8/13/2011,0,No,Foraging site
NTBP,60.04,-112.73,8/14/2011,28,Yes,Foraging site
NTBP,60.04,-112.73,8/15/2011,301,Yes,Foraging site
NTBP,60.04,-112.73,8/16/2011,67,Yes,Foraging site
NTBP,60.04,-112.73,8/17/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,8/30/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,8/31/2011,3,Yes,Foraging site
NTBP,60.04,-112.73,9/1/2011,2,Yes,Foraging site
NTBP,60.04,-112.73,9/2/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/8/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/9/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/10/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/11/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/12/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/13/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/14/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/15/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/16/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/17/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/18/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/19/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/20/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/21/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/22/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/23/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/24/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/25/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/26/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/27/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/28/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/29/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,9/30/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,10/1/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,10/2/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,10/3/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,10/4/2011,0,Yes,Foraging site
NTBP,60.04,-112.73,10/5/2011,0,Yes,Foraging site
SSR-1,60.1,-112.8,3/21/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/22/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/23/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/24/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/25/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/26/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/27/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/28/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/29/2012,,No,Hibernaculum
SSR-1,60.1,-112.8,3/30/2012,1,Yes,Hibernaculum
SSR-1,60.1,-112.8,3/31/2012,19,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/1/2012,21,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/2/2012,0,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/3/2012,3,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/4/2012,0,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/5/2012,0,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/6/2012,2,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/7/2012,0,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/8/2012,0,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/9/2012,0,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/10/2012,0,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/11/2012,25,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/12/2012,8,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/13/2012,7,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/14/2012,1,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/15/2012,1,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/16/2012,2,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/17/2012,1,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/18/2012,6,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/19/2012,142,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/20/2012,216,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/21/2012,318,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/22/2012,142,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/23/2012,1,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/24/2012,5,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/25/2012,9,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/26/2012,530,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/27/2012,359,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/28/2012,286,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/29/2012,489,Yes,Hibernaculum
SSR-1,60.1,-112.8,4/30/2012,391,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/1/2012,497,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/2/2012,508,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/3/2012,707,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/4/2012,629,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/5/2012,456,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/6/2012,360,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/7/2012,533,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/8/2012,567,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/9/2012,435,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/10/2012,204,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/11/2012,373,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/12/2012,91,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/13/2012,286,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/14/2012,187,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/15/2012,1107,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/16/2012,725,Yes,Hibernaculum
SSR-1,60.1,-112.8,5/17/2012,325,Yes,Hibernaculum
