"date","lat","lon","region","site","band_id","species","sex","ageclass","mass","Massinacuracy","forearm","ear","repro_status","Comments","capture_time","release_time","month","season"
2011-05-13,60.09,-112.25,"Salt River","Thebacha cabins","UC0001","Myotis lucifugus","Female","Adult",8,NA,39.90000153,12,"NOP","Band on right; flea, bed bug","23:12","0:10",5,"Spring"
2011-05-13,60.09,-112.25,"Salt River","Thebacha cabins","UC0002","Myotis lucifugus","Female","Adult",11.5,NA,34.09999847,10,"NOP","Band on right; fleas on ears","3:06","3:35",5,"Spring"
2011-05-13,60.09,-112.25,"Salt River","Thebacha cabins","UC0003","Myotis lucifugus","Female","Adult",10.5,NA,37.90000153,11,"NOP","Band on right; fleas on ears; orange item/bug in ear","3:25","3:40",5,"Spring"
2011-05-16,59.7,-112.2,"Wood Buffalo NP","Walk-in Cave","UC0004","Myotis lucifugus","Female","Adult",7.400000095,NA,38.90000153,10,"NOP","fleas on chin; wing photo taken","21:35","0:18",5,"Spring"
2011-05-16,59.7,-112.2,"Wood Buffalo NP","Walk-in Cave","UC0006","Myotis lucifugus","Female","Adult",8.899999619,NA,39.29999924,10,"NOP",NA,"23:15","0:18",5,"Spring"
2011-05-16,59.7,-112.2,"Wood Buffalo NP","Walk-in Cave","UC0008","Myotis lucifugus","Female","Adult",8,NA,38.70000076,12,"NOP",NA,"23:40","0:18",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0005","Myotis lucifugus","Female","Adult",8.699999809,NA,38.09999847,11,"NOP",NA,"23:04","0:10",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0012","Myotis lucifugus","Female","Adult",10.10000038,NA,40.20000076,13,"NOP","rotund","23:07","0:15",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0014","Myotis lucifugus","Female","Adult",9,NA,38.70000076,13,"NOP",NA,"23:07","0:20",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0015","Myotis lucifugus","Female","Adult",9.100000381,NA,38.20000076,13,"NOP","rotund","23:07","0:25",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0016","Myotis lucifugus","Female","Adult",9,NA,40.09999847,13,"NOP",NA,"23:17","0:35",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0018","Myotis lucifugus","Female","Adult",8.399999619,NA,40.09999847,13,"NOP","Bed bug","23:22","0:40",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0019","Myotis lucifugus","Female","Adult",9.5,NA,41.5,13,"NOP",NA,"23:33","0:45",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0020","Myotis lucifugus","Female","Adult",9.600000381,NA,36.90000153,12,"NOP",NA,"0:01","0:50",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0021","Myotis lucifugus","Female","Adult",8.100000381,NA,37.70000076,12,"NOP","White spot R wing (photo)","0:01","0:55",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0022","Myotis lucifugus","Female","Adult",8.600000381,NA,37.79999924,12,"NOP",NA,"0:55","2:05",5,"Spring"
2011-05-20,60.09,-112.25,"Salt River","Thebacha cabins","UC0023","Myotis lucifugus","Female","Adult",12.19999981,"*",38.09999847,13,"NOP","Not held 1 hour","2:57","3:05",5,"Spring"
