date,month,day,day_of_year,year,released_cfs,released_cms,accord_status
10/1/78,10,1,274,1978,20,0.566,pre_accord
10/2/78,10,2,275,1978,20,0.566,pre_accord
10/3/78,10,3,276,1978,20,0.566,pre_accord
10/4/78,10,4,277,1978,20,0.566,pre_accord
10/5/78,10,5,278,1978,20,0.566,pre_accord
10/6/78,10,6,279,1978,20,0.566,pre_accord
10/7/78,10,7,280,1978,20,0.566,pre_accord
10/8/78,10,8,281,1978,20,0.566,pre_accord
10/9/78,10,9,282,1978,20,0.566,pre_accord
10/10/78,10,10,283,1978,20,0.566,pre_accord
10/11/78,10,11,284,1978,20,0.566,pre_accord
10/12/78,10,12,285,1978,20,0.566,pre_accord
10/13/78,10,13,286,1978,20,0.566,pre_accord
10/14/78,10,14,287,1978,20,0.566,pre_accord
10/15/78,10,15,288,1978,20,0.566,pre_accord
10/16/78,10,16,289,1978,20,0.566,pre_accord
10/17/78,10,17,290,1978,20,0.566,pre_accord
10/18/78,10,18,291,1978,20,0.566,pre_accord
10/19/78,10,19,292,1978,20,0.566,pre_accord
10/20/78,10,20,293,1978,20,0.566,pre_accord
10/21/78,10,21,294,1978,20,0.566,pre_accord
10/22/78,10,22,295,1978,20,0.566,pre_accord
10/23/78,10,23,296,1978,20,0.566,pre_accord
10/24/78,10,24,297,1978,20,0.566,pre_accord
10/25/78,10,25,298,1978,20,0.566,pre_accord
10/26/78,10,26,299,1978,20,0.566,pre_accord
10/27/78,10,27,300,1978,20,0.566,pre_accord
10/28/78,10,28,301,1978,20,0.566,pre_accord
10/29/78,10,29,302,1978,20,0.566,pre_accord
10/30/78,10,30,303,1978,20,0.566,pre_accord
10/31/78,10,31,304,1978,20,0.566,pre_accord
11/1/78,11,1,305,1978,24,0.68,pre_accord
11/2/78,11,2,306,1978,25,0.708,pre_accord
11/3/78,11,3,307,1978,25,0.708,pre_accord
11/4/78,11,4,308,1978,25,0.708,pre_accord
11/5/78,11,5,309,1978,25,0.708,pre_accord
11/6/78,11,6,310,1978,25,0.708,pre_accord
11/7/78,11,7,311,1978,25,0.708,pre_accord
11/8/78,11,8,312,1978,25,0.708,pre_accord
11/9/78,11,9,313,1978,25,0.708,pre_accord
11/10/78,11,10,314,1978,25,0.708,pre_accord
11/11/78,11,11,315,1978,25,0.708,pre_accord
11/12/78,11,12,316,1978,25,0.708,pre_accord
11/13/78,11,13,317,1978,25,0.708,pre_accord
11/14/78,11,14,318,1978,25,0.708,pre_accord
11/15/78,11,15,319,1978,25,0.708,pre_accord
11/16/78,11,16,320,1978,25,0.708,pre_accord
11/17/78,11,17,321,1978,25,0.708,pre_accord
11/18/78,11,18,322,1978,25,0.708,pre_accord
11/19/78,11,19,323,1978,25,0.708,pre_accord
11/20/78,11,20,324,1978,25,0.708,pre_accord
11/21/78,11,21,325,1978,25,0.708,pre_accord
11/22/78,11,22,326,1978,25,0.708,pre_accord
11/23/78,11,23,327,1978,25,0.708,pre_accord
11/24/78,11,24,328,1978,25,0.708,pre_accord
11/25/78,11,25,329,1978,25,0.708,pre_accord
11/26/78,11,26,330,1978,25,0.708,pre_accord
11/27/78,11,27,331,1978,25,0.708,pre_accord
11/28/78,11,28,332,1978,25,0.708,pre_accord
11/29/78,11,29,333,1978,25,0.708,pre_accord
11/30/78,11,30,334,1978,25,0.708,pre_accord
12/1/78,12,1,335,1978,25,0.708,pre_accord
12/2/78,12,2,336,1978,25,0.708,pre_accord
12/3/78,12,3,337,1978,25,0.708,pre_accord
12/4/78,12,4,338,1978,25,0.708,pre_accord
12/5/78,12,5,339,1978,25,0.708,pre_accord
12/6/78,12,6,340,1978,25,0.708,pre_accord
12/7/78,12,7,341,1978,25,0.708,pre_accord
12/8/78,12,8,342,1978,25,0.708,pre_accord
12/9/78,12,9,343,1978,25,0.708,pre_accord
12/10/78,12,10,344,1978,25,0.708,pre_accord
