D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230328.b\PCBM.d
Intensity Vs Time,CPS
Acquired      : 2023-03-28 13:54:37 using Batch PC_LGH_20230328.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
0.9846,20.00,133.33,470806.23,15543.02,393.34,0.00,0.00
1.9599,60.00,66.67,474290.51,16106.82,463.34,20.00,0.00
2.9348,40.00,66.67,492473.42,16153.53,426.67,0.00,0.00
3.9096,80.00,0.00,460971.72,16000.07,526.67,0.00,0.00
4.8850,50.00,100.00,498663.55,15869.96,486.67,0.00,0.00
5.8598,160.00,66.67,484371.01,16210.24,503.34,0.00,0.00
6.8347,150.00,100.00,482422.86,16263.62,413.34,20.00,0.00
7.8095,40.00,66.67,479791.38,16417.09,450.01,0.00,0.00
8.7849,130.00,0.00,469884.06,16180.22,476.67,0.00,0.00
9.7597,100.00,0.00,489190.99,15589.73,456.67,20.00,0.00
10.7346,50.00,66.67,487584.19,16110.16,380.00,30.00,0.00
11.7100,120.00,0.00,483072.18,16026.76,426.67,10.00,0.00
12.6848,100.00,33.33,479107.99,15826.59,400.00,0.00,0.00
13.6596,90.00,66.67,472035.92,16086.81,476.67,10.00,0.00
14.6345,30.00,0.00,486524.49,15566.37,490.01,0.00,0.00
15.6099,110.00,0.00,484541.91,15469.63,520.01,10.00,0.00
16.5847,40.00,0.00,472377.45,16060.12,516.67,0.00,0.00
17.5596,160.00,0.00,495345.97,15589.73,553.34,60.00,0.00
18.5349,30.00,33.33,482730.45,15726.50,470.01,20.00,0.00
19.5098,60.00,300.00,474222.15,15669.79,493.34,20.00,0.00
20.4846,70.00,0.00,467903.17,16233.60,413.34,30.00,0.00
21.4600,160.00,0.00,456090.44,15696.48,476.67,0.00,0.00
22.4348,180.00,66.67,469405.87,15966.71,470.01,10.00,0.00
23.4097,60.00,66.67,470601.31,16133.51,516.67,20.00,20.00
24.3845,70.00,100.00,464932.24,16296.99,463.34,30.00,0.00
25.3599,40.00,100.00,461210.69,15673.13,406.67,10.00,0.00
26.3347,10.00,66.67,466673.77,16023.42,433.34,0.00,0.00
27.3096,120.00,66.67,458889.33,15996.73,540.01,70.00,0.00
28.2849,40.00,133.33,474666.25,15716.50,476.67,10.00,0.00
29.2598,80.00,0.00,478732.11,16090.14,556.67,20.00,0.00
30.2346,130.00,200.00,478561.27,16313.67,553.34,0.00,0.00
31.2100,70.00,66.67,470908.70,16206.91,510.01,20.00,0.00
32.1848,40.00,133.33,465239.50,16246.94,510.01,0.00,0.00
33.1597,90.00,233.33,462699.98,15973.38,423.34,30.00,0.00
34.1345,110.00,100.00,428975.76,15496.31,380.00,10.00,0.00
35.1099,70.00,0.00,267586.29,13568.18,426.67,20.00,0.00
36.0847,30.00,166.67,253361.82,13197.92,390.00,20.00,0.00
37.0596,20.00,100.00,258563.86,13958.46,393.34,30.00,0.00
38.0349,70.00,0.00,334999.16,14242.00,343.34,0.00,0.00
39.0098,60.00,33.33,354342.03,14895.84,363.34,60.00,0.00
39.9846,70.00,66.67,350879.21,14135.25,436.67,0.00,10.00
40.9600,60.00,0.00,345618.40,14221.99,370.00,10.00,0.00
41.9348,80.00,133.33,324724.78,13704.94,406.67,10.00,0.00
42.9097,110.00,66.67,324453.56,13354.69,400.00,20.00,0.00
43.8845,50.00,66.67,339408.99,13568.18,390.00,40.00,0.00
44.8599,60.00,0.00,340901.80,13344.68,356.67,0.00,0.00
45.8348,120.00,66.67,349521.46,13454.76,456.67,0.00,0.00
46.8096,50.00,66.67,335711.50,14208.65,443.34,0.00,0.00
47.7850,80.00,66.67,334320.84,12774.29,430.00,0.00,0.00
48.7598,120.00,133.33,338255.57,13768.32,203.33,0.00,0.00
49.7347,70.00,100.00,341987.54,13928.44,333.34,0.00,0.00
50.7095,130.00,33.33,373160.43,14228.66,466.67,30.00,0.00
51.6849,60.00,0.00,415143.11,14572.25,446.67,0.00,0.00
52.6597,150.00,66.67,392541.48,14922.52,490.01,0.00,0.00
53.6346,70.00,200.00,400605.51,14231.99,373.34,30.00,0.00
54.6099,100.00,100.00,412827.22,14702.35,363.34,20.00,0.00
