D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230328_#2.b\PCBN_PCBO_PCBP.d
Intensity Vs Time,CPS
Acquired      : 2023-03-28 16:42:53 using Batch PC_LGH_20230328_#2.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
0.9846,60.00,33.33,350709.51,14385.44,466.67,0.00,0.00
1.9599,110.00,66.67,369898.12,14625.62,386.67,80.00,0.00
2.9348,100.00,200.00,366194.83,14128.59,410.00,0.00,0.00
3.9096,110.00,66.67,346975.89,13508.13,480.01,10.00,0.00
4.8850,90.00,66.67,356854.60,13958.46,390.00,10.00,0.00
5.8598,90.00,33.33,370747.66,14168.61,363.34,20.00,0.00
6.8347,110.00,133.33,376457.23,14575.59,350.00,40.00,0.00
7.8095,0.00,33.33,368573.06,14522.21,336.67,0.00,0.00
8.7849,50.00,66.67,374859.74,14472.18,326.67,0.00,0.00
9.7597,80.00,66.67,372616.71,14512.20,423.34,50.00,0.00
10.7346,140.00,100.00,376151.38,15075.98,380.00,20.00,0.00
11.7100,40.00,0.00,379346.69,14902.51,343.34,0.00,0.00
12.6848,60.00,133.33,373942.10,13701.60,396.67,20.00,0.00
13.6596,50.00,33.33,376491.22,14552.24,426.67,70.00,0.00
14.6345,60.00,100.00,361371.30,14045.19,350.00,0.00,0.00
15.6099,60.00,66.67,362560.10,14442.15,340.00,50.00,0.00
16.5847,80.00,0.00,360080.70,14258.68,373.34,30.00,10.00
17.5596,130.00,66.67,364564.20,14625.62,390.00,10.00,0.00
18.5349,60.00,0.00,370407.82,14298.71,406.67,40.00,0.00
19.5098,50.00,66.67,366398.61,14655.65,433.34,60.00,0.00
20.4846,130.00,166.67,361405.25,14992.58,456.67,30.00,0.00
21.4600,70.00,100.00,355632.27,15346.19,330.00,80.00,0.00
22.4348,70.00,66.67,367655.70,14732.37,460.01,60.00,0.00
23.4097,60.00,366.67,364258.47,14445.49,326.67,10.00,0.00
24.3845,60.00,66.67,373568.27,14862.48,400.00,50.00,0.00
25.3599,70.00,66.67,359809.06,13698.27,370.00,0.00,0.00
26.3347,120.00,133.33,367621.72,14482.18,346.67,20.00,0.00
27.3096,130.00,66.67,379754.57,14618.95,346.67,80.00,0.00
28.2849,70.00,133.33,371155.44,15065.97,430.00,10.00,0.00
29.2598,140.00,100.00,361744.96,14318.73,463.34,50.00,0.00
30.2346,90.00,0.00,363545.16,14362.09,356.67,20.00,0.00
31.2100,60.00,66.67,381216.48,15372.88,460.01,10.00,20.00
32.1848,40.00,33.33,378054.89,14805.76,366.67,20.00,0.00
33.1597,80.00,0.00,364666.12,14512.20,443.34,20.00,0.00
34.1345,70.00,66.67,394820.84,14532.22,376.67,10.00,0.00
35.1109,150.00,233.33,388187.51,15409.58,356.67,100.00,0.00
36.0858,90.00,0.00,375709.48,14642.31,346.67,10.00,0.00
37.0606,170.00,66.67,382100.53,14672.33,386.67,10.00,0.00
38.0360,190.00,133.33,363069.54,14332.07,366.67,40.00,0.00
39.0108,70.00,100.00,375063.65,14428.81,460.01,70.00,0.00
39.9857,60.00,100.00,395433.28,14338.74,400.00,50.00,0.00
40.9605,0.00,200.00,369830.22,14552.24,456.67,10.00,0.00
41.9359,160.00,0.00,356379.17,14528.88,470.01,60.00,0.00
42.9107,140.00,266.67,368335.23,14558.91,396.67,60.00,0.00
43.8856,90.00,166.67,370034.09,15015.93,426.67,10.00,0.00
44.8609,100.00,0.00,366806.36,14665.66,473.34,20.00,0.00
45.8358,60.00,66.67,362050.63,14655.65,453.34,0.00,0.00
46.8106,60.00,33.33,378836.76,14715.69,420.00,20.00,0.00
47.7860,40.00,0.00,360114.66,14709.02,340.00,0.00,0.00
48.7608,50.00,0.00,370237.96,14498.86,333.34,40.00,20.00
49.7357,50.00,300.00,380910.52,14795.76,400.00,0.00,0.00
50.7105,40.00,66.67,376219.31,14435.48,433.34,10.00,0.00
51.6859,80.00,133.33,395569.38,15015.93,476.67,50.00,0.00
52.6607,30.00,100.00,381964.53,14455.49,453.34,20.00,0.00
53.6356,0.00,133.33,374213.94,14875.82,306.67,0.00,0.00
54.6109,30.00,0.00,361167.55,14725.70,383.34,70.00,0.00
55.5858,90.00,266.67,382712.51,14488.85,340.00,10.00,0.00
56.5606,60.00,0.00,359231.65,14705.69,423.34,0.00,0.00
57.5360,50.00,100.00,371529.24,14628.96,430.00,60.00,0.00
58.5108,80.00,33.33,381080.54,14648.98,396.67,20.00,0.00
59.4857,150.00,0.00,371733.15,14572.25,396.67,70.00,0.00
60.4605,70.00,133.33,369116.61,14975.90,440.01,0.00,0.00
61.4359,60.00,0.00,365956.97,14278.70,386.67,10.00,0.00
62.4108,70.00,66.67,359605.25,15629.76,15596.46,143696.87,16978.13
63.3856,113368.04,53808.62,1295110.32,354964.75,108247.07,402795.27,36086.69
64.3610,200473.49,95168.56,1895133.90,515693.99,117918.24,443891.44,40566.36
65.3358,197452.95,120376.10,2351787.55,490742.74,119565.26,439559.60,40586.41
66.3107,213561.11,90278.37,2027853.04,521982.32,126641.31,474549.76,43553.44
67.2855,245412.05,100529.11,2190153.43,517628.94,127678.28,455478.43,45578.52
68.2609,227234.10,106695.58,2019799.78,555681.28,119196.26,455621.95,42290.38
69.2357,218252.57,116418.48,2226263.07,523578.63,130655.27,424104.49,37950.58
70.2106,217281.79,105589.48,1886785.85,469758.99,108967.87,401722.30,43092.31
71.1859,200039.08,85791.21,1875421.53,497638.68,122413.47,435290.23,40085.27
72.1608,223895.86,100294.55,2174469.97,472888.52,126231.91,472354.52,43583.51
73.1356,206576.62,99456.89,2085183.12,526405.14,121490.85,447773.39,42039.79
74.1110,208092.58,98954.29,2005953.17,540883.26,114342.95,476899.17,46160.02
75.0858,225443.53,107164.85,2072895.88,511482.43,109842.95,431728.12,38301.33
76.0607,208547.40,101534.38,2089032.47,540197.48,117592.89,495827.96,38581.94
77.0355,240967.20,96106.56,1978208.90,465526.75,128722.03,457589.68,42099.93
78.0109,208557.50,95570.55,1948298.48,482851.13,124976.91,447558.27,42320.45
78.9857,229459.86,108572.72,1979507.60,527230.86,115178.02,415952.18,37459.54
79.9606,193443.16,92723.32,2051841.97,506217.53,117106.54,433406.75,40416.02
80.9359,210558.81,99590.91,2046937.42,473329.36,107100.53,439313.86,42190.15
81.9108,195675.23,95939.05,2054418.28,515279.61,118454.94,443881.17,45779.04
