D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230523.b\PC_2016_08_09.d
Intensity Vs Time,CPS
Acquired      : 2023-05-23 13:30:14 using Batch PC_LGH_20230523.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
0.9846,180.00,200.00,864165.32,48481.77,516.67,60.00,30.00
1.9599,170.00,0.00,857858.16,47963.79,570.01,0.00,10.00
2.9348,200.00,33.33,923048.07,48438.33,540.01,0.00,40.00
3.9096,290.00,33.33,864897.15,47308.82,483.34,0.00,10.00
4.8850,150.00,200.00,846050.80,47208.57,473.34,0.00,0.00
5.8598,150.00,33.33,859704.71,47756.60,553.34,40.00,0.00
6.8347,230.00,133.33,863084.92,47599.54,633.34,50.00,10.00
7.8095,70.00,166.67,889693.18,46503.50,573.34,30.00,0.00
8.7849,170.00,433.34,867058.22,46924.54,490.01,10.00,0.00
9.7597,220.00,66.67,839053.40,46597.06,636.68,50.00,10.00
10.7346,160.00,33.33,821379.45,45898.70,630.01,0.00,0.00
11.7100,190.00,233.33,900269.81,46714.01,550.01,10.00,10.00
12.6848,200.00,100.00,880063.95,48064.04,486.67,0.00,0.00
13.6596,270.00,66.67,894230.29,47429.12,536.67,20.00,10.00
14.6345,210.00,166.67,888925.41,48658.88,453.34,20.00,20.00
15.6099,160.00,300.00,865872.94,47502.64,490.01,30.00,20.00
16.5847,360.00,100.00,856673.65,47602.89,550.01,30.00,10.00
17.5596,280.00,466.67,856778.14,47749.92,543.34,0.00,0.00
18.5349,220.00,266.67,829309.85,47636.31,513.34,30.00,0.00
19.5098,180.00,100.00,865141.03,47031.47,506.67,20.00,0.00
20.4846,150.00,200.00,888925.41,47272.07,486.67,30.00,0.00
21.4600,230.00,0.00,887145.85,47054.85,523.34,40.00,0.00
22.4348,160.00,233.33,870125.74,47626.27,513.34,0.00,0.00
23.4097,220.00,0.00,881598.78,48358.12,483.34,20.00,0.00
24.3845,170.00,166.67,891717.34,46483.46,470.01,30.00,10.00
25.3609,300.00,166.67,903307.64,47148.42,546.67,10.00,10.00
26.3357,220.00,133.33,877796.83,47432.46,516.67,10.00,0.00
27.3106,240.00,233.33,858868.57,47011.42,523.34,0.00,0.00
28.2860,240.00,66.67,879157.05,47435.80,573.34,20.00,20.00
29.2608,290.00,266.67,866082.12,46934.56,433.34,20.00,0.00
30.2356,200.00,66.67,850891.30,46269.60,556.67,40.00,20.00
31.2105,130.00,266.67,888541.56,47452.51,400.00,0.00,30.00
32.1859,260.00,266.67,869742.27,47783.33,526.67,10.00,0.00
33.1607,120.00,33.33,894509.53,47950.42,496.67,0.00,0.00
34.1356,150.00,133.33,854931.72,47352.26,523.34,130.00,10.00
35.1109,160.00,66.67,880308.22,47348.92,513.34,10.00,20.00
36.0858,220.00,166.67,834807.31,47572.81,550.01,0.00,40.00
37.0606,160.00,133.33,895591.69,47729.87,526.67,0.00,20.00
38.0360,160.00,33.33,862143.96,47783.33,506.67,0.00,10.00
39.0108,60.00,433.34,858764.02,46851.02,570.01,40.00,20.00
39.9857,320.00,0.00,876960.05,47900.29,520.01,40.00,20.00
40.9605,220.00,433.34,896010.57,47927.03,460.01,30.00,0.00
41.9359,250.00,66.67,864513.76,47148.42,530.01,0.00,30.00
42.9107,140.00,100.00,865942.79,48110.82,493.34,10.00,0.00
43.8856,160.00,66.67,860471.37,47783.33,553.34,40.00,0.00
44.8609,240.00,0.00,863607.57,47362.29,720.01,40.00,0.00
45.8358,270.00,100.00,842012.13,47860.19,436.67,20.00,30.00
46.8106,100.00,66.67,867546.11,47950.42,476.67,0.00,10.00
47.7860,240.00,166.67,856394.88,47830.12,553.34,10.00,0.00
48.7608,240.00,166.67,860854.64,47790.01,523.34,0.00,0.00
49.7347,330.00,0.00,883761.67,47024.78,520.01,0.00,0.00
50.7105,270.00,66.67,885017.47,46667.24,470.01,20.00,0.00
51.6859,210.00,233.33,845702.56,47462.53,536.67,0.00,20.00
52.6607,260.00,933.36,854200.21,47840.14,493.34,10.00,0.00
53.6356,210.00,233.33,897546.50,47626.27,580.01,20.00,20.00
54.6109,150.00,133.33,893985.89,46981.34,473.34,30.00,20.00
55.5858,180.00,33.33,864897.15,47231.96,446.67,10.00,0.00
56.5606,230.00,100.00,853399.04,46757.45,440.01,10.00,0.00
57.5360,280.00,133.33,908651.39,48040.65,523.34,0.00,10.00
58.5108,190.00,133.33,875669.55,47743.23,513.34,0.00,0.00
59.4857,130.00,0.00,900933.29,47405.73,510.01,50.00,0.00
60.4605,210.00,433.34,858241.36,47522.69,540.01,0.00,0.00
61.4359,260.00,100.00,858276.26,47171.81,373.34,20.00,0.00
62.4108,490.01,33.33,830388.23,47743.23,486.67,20.00,0.00
63.3856,190.00,66.67,861656.14,48294.62,580.01,50.00,10.00
64.3610,330.00,133.33,842221.05,47048.17,480.01,60.00,40.00
65.3358,110.00,500.01,904390.25,122812.26,86300.74,744604.36,95355.78
66.3107,549779.68,205224.08,4297394.63,1426669.42,255249.26,1243693.89,144617.50
67.2855,651713.66,247518.25,5381372.00,1726200.45,269401.08,1288997.56,146654.12
68.2609,667017.49,285371.33,5680322.00,1761771.39,270408.77,1309046.86,144073.08
69.2357,722136.47,271133.93,5508558.46,1753604.10,260368.66,1285784.90,149023.76
70.2106,681090.93,253698.13,5049452.20,1762888.68,262906.89,1303118.96,158182.61
71.1859,677892.49,296437.08,4935381.88,1636065.14,261646.19,1323848.26,149870.85
72.1608,655083.66,291157.27,5492216.79,1662236.81,260392.28,1308886.23,153864.85
73.1356,732314.99,261400.40,5275764.70,1617251.39,268173.74,1351927.01,144224.31
74.1110,677944.29,283240.11,5210983.97,1633438.48,253607.23,1265417.72,140161.90
75.0858,735792.02,270288.81,5009207.40,1674680.77,247327.88,1247348.58,148045.63
76.0607,718402.41,254306.08,5378513.66,1667795.77,262396.53,1291675.45,146281.07
77.0355,668051.87,285439.00,5416422.00,1675584.20,267781.55,1299560.84,143014.59
78.0109,663635.07,256332.74,5746948.57,1711939.10,257979.42,1363567.79,139224.58
78.9857,736799.05,247889.64,5580029.81,1668172.85,263755.30,1291097.17,151655.95
79.9606,660553.27,294406.19,5448062.62,1630976.71,258026.71,1289865.29,143952.12
80.9359,662238.90,270322.61,5272539.18,1681337.22,252060.02,1289940.29,139597.49
