

Mass Spectrometer Files
File,File start time,File end time,Time file loaded,No of data points,No of channels,Channels,Samples
C:/Users/malte/Box/PROJECTS/putah creek_data/data/TE/PCBM.csv,2023-03-28 13:54:37.000,2023-03-28 14:44:36.139,2023-03-31 13:24:14.709,3077,7,Mg24;Ca43;Ca44;Mn55;Zn66;Sr88;Ba137,PCBM.d,
Laser Log Files
File,File start time,File end time,Time file loaded,Samples,Offset (s),Widths


DRS Settings
Trace Elements
Full-Quant,true
Howell,true
IndexChannel,Ca43
Longerich,true
MaskChannel,Mg24
MaskCutoff,1000
MaskMethod,Laser log
MaskResults,false
MaskTrim,0
Pettke,true
exceptions,


Reference Material Values
A_MAD
Matrix,Apatite
Description,Madagascar Apatite
Data Source,Thomson et al., 2012, G3
URL,
File Path,C:/Users/malte/OneDrive/Documents/iolite/Reference materials/A_MAD.json
Notes,

Age,Ma,473.46,0
206Pb/238U,ratio,0.0762416,0
207Pb/235U,ratio,0.601257,0
208Pb/232Th,ratio,0,0
207Pb/206Pb,ratio,0.0571961,0
c207Pb/206Pb,ratio,0.8681,0
206Pb/208Pb,ratio,0,0
206Pb/204Pb,ratio,0,0
207Pb/204Pb,ratio,0,0
208Pb/204Pb,ratio,0,0
Pb,ppm,51.2,0
Th,ppm,798,0
U,ppm,22.2,0
176Hf/177Hf,ratio,0,0
87Sr/86Sr,ratio,0.7118,3e-05
87Rb/86Sr,ratio,0.0001,0.0002


A_McClure
Matrix,Apatite
Description,McClure Mountain Apatite Apatite
Data Source,Schoene and Bowring, CMP, 2006
URL,
File Path,C:/Users/malte/OneDrive/Documents/iolite/Reference materials/A_McClure.json
Notes,

Age,Ma,523.51,0
206Pb/238U,ratio,0.0845981,0
207Pb/235U,ratio,0.674607,0
208Pb/232Th,ratio,0,0
207Pb/206Pb,ratio,0.0578348,0
c207Pb/206Pb,ratio,0.88198,0
206Pb/208Pb,ratio,0,0
206Pb/204Pb,ratio,0,0
207Pb/204Pb,ratio,0,0
208Pb/204Pb,ratio,0,0
Pb,ppm,0,0
Th,ppm,71,0
U,ppm,23,0
176Hf/177Hf,ratio,0,0


C_MMC
Matrix,CaCO3
Description,Modern Marine Carbonate
Data Source,a bunch of shells from your local beach
URL,http://www.awebpageforthisstandardifappropriate.org
File Path,C:/Users/malte/OneDrive/Documents/iolite/Reference materials/C_MMC.json
Notes,Any further notes about the standard can be entered here

87Sr_86Sr,ratio,0.709163,2e-05


G_BCR2G
Matrix,Glass
Description,Natural glass, basaltic composition
Data Source,GeoRem database as of 2018-07-09
URL,
File Path,C:/Users/malte/OneDrive/Documents/iolite/Reference materials/G_BCR2G.json
Notes,GEOREM preferred values. Uncertainties for some major elements have not been included, otherwise 2 sd Values for isotope ratios come from various sources. Please review all values before using them.

Ag,ppm,0.5,0.4
Al,ppm,70913,0
Ba,ppm,683,7
Be,ppm,2.3,0.4
Bi,ppm,0.05,0.01
Ca,ppm,50429,0
Cd,ppm,0.2,0
Ce,ppm,53.3,0.5
Co,ppm,38,2
Cr,ppm,17,2
Cs,ppm,1.16,0.07
Cu,ppm,21,5
Dy,ppm,6.44,0.06
Er,ppm,3.7,0.04
Eu,ppm,1.97,0.02
Fe,ppm,96385,0
Ga,ppm,23,1
Gd,ppm,6.71,0.07
Ge,ppm,1.5,0.1
Hf,ppm,4.84,0.28
Ho,ppm,1.27,0.08
In,ppm,0.11,0.02
K,ppm,14900,150
La,ppm,24.7,0.3
Li,ppm,9,1
Lu,ppm,0.503,0.005
Mg,ppm,21467,0
Mn,ppm,1550,70
Mo,ppm,270,30
Na,ppm,23962,0
Nb,ppm,12.5,1
Nd,ppm,28.9,0.3
Ni,ppm,13,2
P,ppm,1615,0
Pb,ppm,11,1
Pr,ppm,6.7,0.4
Pt,ppm,0.78,0.6
Rb,ppm,47,0.5
Re,ppm,0.0062,0.0007
Sb,ppm,0.35,0.08
Sc,ppm,33,2
Si,ppm,254270,0
Sm,ppm,6.59,0.07
Sn,ppm,2.6,0.4
Sr,ppm,342,4
Ta,ppm,0.78,0.06
Tb,ppm,1.02,0.08
Th,ppm,5.9,0.3
Ti,ppm,14100,1000
Tl,ppm,0.3,0.1
Tm,ppm,0.51,0.04
U,ppm,1.69,0.12
V,ppm,425,18
W,ppm,0.5,0.07
Y,ppm,35,3
Yb,ppm,3.39,0.03
Zn,ppm,125,5
Zr,ppm,184,15
206Pb/204Pb,ppm,18.765,0
