PC_Samples_9
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-03-28 14:13:12.421,0,1.84018e+06,1.33638e+07,2.2212e+08,151777,242023,3.15684e+07,10233,2.69297e+08,1.8401e+06,1.33637e+07,2.21642e+08,134552,241569,3.15683e+07,10235.3,2.68798e+08,0.137694,16.5854,0.0100685,0.0180765,2.36225,0.000765909,38.8,108.56,396451,3.79855,36.9307,1245.75,4.04205,
2023-03-28 14:13:13.397,0.9753,1.84863e+06,1.39718e+07,2.32396e+08,155090,276439,3.14559e+07,11043.4,2.80114e+08,1.84855e+06,1.39716e+07,2.31917e+08,137866,275985,3.14558e+07,11045.8,2.79615e+08,0.132307,16.5991,0.00986755,0.0197532,2.2514,0.000790589,38.8,104.323,396776,3.72296,40.3603,1187.3,4.17218,
2023-03-28 14:13:14.371,1.9501,1.77917e+06,1.39411e+07,2.20171e+08,157564,320377,3.15048e+07,12494.4,2.67886e+08,1.77909e+06,1.39409e+07,2.19692e+08,140340,319923,3.15047e+07,12496.8,2.67387e+08,0.127617,15.7588,0.0100668,0.0229485,2.25988,0.000896413,38.8,100.635,376689,3.79837,46.8939,1191.78,4.7305,
2023-03-28 14:13:15.346,2.925,1.75922e+06,1.29034e+07,2.10004e+08,156794,363755,3.14182e+07,13214.9,2.56619e+08,1.75914e+06,1.29032e+07,2.09526e+08,139570,363301,3.14181e+07,13217.3,2.5612e+08,0.136333,16.2383,0.0108167,0.0281558,2.43491,0.00102434,38.8,107.519,388148,4.0816,57.5406,1284.09,5.40544,
2023-03-28 14:13:16.321,3.8999,1.73843e+06,1.41951e+07,2.32355e+08,224680,440028,3.34954e+07,14445.9,2.82463e+08,1.73836e+06,1.41949e+07,2.31876e+08,207457,439574,3.34953e+07,14448.3,2.81964e+08,0.122463,16.3352,0.0146149,0.030967,2.35967,0.00101785,38.8,96.5903,390463,5.51515,63.292,1244.42,5.371,
2023-03-28 14:13:17.297,4.8752,1.75276e+06,1.46225e+07,2.42588e+08,192588,510491,3.41122e+07,15526.8,2.93794e+08,1.75268e+06,1.46223e+07,2.42109e+08,175364,510037,3.41121e+07,15529.2,2.93295e+08,0.119864,16.5575,0.0119929,0.0348807,2.33288,0.00106202,38.8,94.5495,395777,4.52601,71.2983,1230.31,5.60392,
2023-03-28 14:13:18.271,5.8501,1.60999e+06,1.51706e+07,2.50001e+08,149086,574397,3.26131e+07,16327.5,3.00134e+08,1.60991e+06,1.51704e+07,2.49522e+08,131862,573943,3.2613e+07,16329.9,2.99635e+08,0.106122,16.4479,0.00869207,0.037833,2.14977,0.00107643,38.8,83.7181,393155,3.28051,77.3406,1133.74,5.67976,
2023-03-28 14:13:19.246,6.8249,1.48382e+06,1.4546e+07,2.36588e+08,132161,622260,3.09639e+07,16667.8,2.84352e+08,1.48374e+06,1.45458e+07,2.36109e+08,114938,621805,3.09638e+07,16670.2,2.83853e+08,0.102004,16.2321,0.00790179,0.042748,2.1287,0.00114605,38.8,80.478,387994,2.98244,87.3969,1122.64,6.04691,
2023-03-28 14:13:20.222,7.8002,1.37342e+06,1.43396e+07,2.40479e+08,121809,666058,3.13028e+07,17618.8,2.88301e+08,1.37335e+06,1.43395e+07,2.40001e+08,104586,665604,3.13027e+07,17621.2,2.87801e+08,0.0957739,16.7371,0.00729359,0.0464176,2.18298,0.00122886,38.8,75.57,400064,2.75306,94.9087,1151.27,6.48363,
2023-03-28 14:13:21.196,8.7751,1.2908e+06,1.39579e+07,2.39546e+08,112080,709043,2.96755e+07,19220.4,2.85311e+08,1.29072e+06,1.39577e+07,2.39068e+08,94856.8,708589,2.96754e+07,19222.8,2.84812e+08,0.0924741,17.128,0.00679603,0.0507669,2.1261,0.00137722,38.8,72.9737,409408,2.56541,103.812,1121.28,7.26619,
2023-03-28 14:13:22.171,9.75,1.234e+06,1.34731e+07,2.25224e+08,108053,735125,2.90493e+07,18459.6,2.69842e+08,1.23392e+06,1.3473e+07,2.24745e+08,90830.4,734671,2.90492e+07,18462,2.69343e+08,0.0915852,16.6812,0.00674168,0.0545293,2.15611,0.0013703,38.8,72.2795,398726,2.54506,111.516,1137.12,7.22945,
2023-03-28 14:13:23.146,10.7248,1.21594e+06,1.35869e+07,2.25451e+08,101011,780373,2.91731e+07,17748.9,2.70326e+08,1.21587e+06,1.35867e+07,2.24972e+08,83788.7,779919,2.9173e+07,17751.3,2.69826e+08,0.0894893,16.5582,0.00616695,0.0574031,2.14717,0.00130652,38.8,70.6326,395785,2.32824,117.405,1132.41,6.89271,
2023-03-28 14:13:24.121,11.7001,1.14428e+06,1.36321e+07,2.20244e+08,94062.2,801615,2.89624e+07,19751,2.64898e+08,1.1442e+06,1.3632e+07,2.19766e+08,76840.1,801161,2.89623e+07,19753.4,2.64399e+08,0.083935,16.1213,0.00563675,0.0587708,2.12459,0.00144905,38.8,66.2553,385340,2.12821,120.214,1120.51,7.64441,
