Baseline_1
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-03-28 16:42:59.834,0,110,133.33,376457,14575.6,350,40,0,391666,33.9433,22.4027,-1641.99,-169.026,-35.9463,18.7305,-0.858531,-1769.32,1.51514,-73.2943,-7.54488,-1.60456,0.836085,-0.0383227,,,,,,,,
2023-03-28 16:43:00.809,0.9748,0,33.33,368573,14522.2,336.67,0,0,383465,-76.1283,-76.6356,-9258.01,-217.099,-49.6517,-21.6449,-0.84968,-9696.77,0.99338,120.806,2.83288,0.647894,0.28244,0.0110873,,,,,,,,
2023-03-28 16:43:01.784,1.9502,50,66.67,374860,14472.2,326.67,0,0,389775,-26.1998,-42.3332,-2703.02,-261.819,-60.0273,-22.0206,-0.840824,-3113.18,0.618895,63.851,6.18472,1.41797,0.520173,0.019862,,,,,,,,
2023-03-28 16:43:02.759,2.925,80,66.67,372617,14512.2,423.34,50,0,387749,3.72862,-41.3715,-4677.9,-216.493,36.2673,27.6039,-0.831973,-4866.09,-0.0901252,113.071,5.2329,-0.876625,-0.667221,0.0201098,,,,,,,,
2023-03-28 16:43:03.734,3.8999,140,100,376151,15076,380,20,0,391867,63.6571,-7.07965,-875.055,352.594,-7.44814,-2.77155,-0.823121,-474.191,-8.99155,123.601,-49.8039,1.05205,0.391482,0.116266,,,,,,,,
2023-03-28 16:43:04.710,4.8753,40,0,379347,14902.5,343.34,0,0,394633,-36.4145,-106.117,2588.57,184.434,-44.4838,-23.1472,-0.814264,2564.59,0.343153,-24.3935,-1.73802,0.419194,0.218129,0.00767325,,,,,,,,
2023-03-28 16:43:05.684,5.8501,60,133.33,373942,13701.6,396.67,20,0,388254,-16.486,28.1744,-2547.87,-1011.17,8.47086,-3.5227,-0.805413,-3540.82,-0.585142,-90.4322,-35.8896,0.300658,-0.125032,-0.0285867,,,,,,,,
2023-03-28 16:43:06.659,6.8249,50,33.33,376491,14552.2,426.67,70,0,391623,-26.5576,-70.8638,269.394,-155.223,38.0955,46.1018,-0.796562,102.372,0.374769,-3.80157,2.19044,-0.537587,-0.65057,0.0112407,,,,,,,,
2023-03-28 16:43:07.634,7.7998,60,100,361371,14045.2,350,0,0,375926,-16.6291,-3.23198,-14582.4,-656.966,-38.9499,-24.2736,-0.78771,-15321.1,5.14518,4511.89,203.27,12.0514,7.51045,0.243724,,,,,,,,
2023-03-28 16:43:08.609,8.7752,60,66.67,362560,14442.1,340,50,0,377519,-16.7007,-35.5996,-13125.2,-254.697,-49.3256,25.3507,-0.778854,-13455.1,0.469125,368.69,7.15447,1.38556,-0.712104,0.0218781,,,,,,,,
