MACS3_7
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-03-28 17:32:55.067,0,4.64915e+06,2.30331e+06,3.44236e+07,2.86553e+06,79350.3,3.08716e+07,36898.4,7.52294e+07,4.64901e+06,2.30317e+06,3.40285e+07,2.84838e+06,78971.2,3.08716e+07,36898.4,7.48158e+07,2.01853,14.7747,1.23672,0.0342881,13.404,0.0160207,,,,,,,,
2023-03-28 17:32:56.042,0.9748,4.4666e+06,2.30071e+06,3.44536e+07,3.05485e+06,72214.9,3.51577e+07,36928.4,7.95426e+07,4.46647e+06,2.30057e+06,3.40589e+07,3.03771e+06,71836.2,3.51576e+07,36928.4,7.91294e+07,1.94147,14.8046,1.32042,0.0312254,15.2822,0.0160519,,,,,,,,
2023-03-28 17:32:57.017,1.9497,4.18114e+06,2.3572e+06,3.65417e+07,3.1612e+06,80234,3.15988e+07,39965,7.79602e+07,4.181e+06,2.35706e+06,3.61474e+07,3.14408e+06,79855.6,3.15987e+07,39965,7.75474e+07,1.77382,15.3358,1.3339,0.0338793,13.406,0.0169555,,,,,,,,
2023-03-28 17:32:57.992,2.925,4.43401e+06,2.23661e+06,3.63493e+07,3.06786e+06,91749.8,3.25899e+07,33671.9,7.88031e+07,4.43388e+06,2.23647e+06,3.59555e+07,3.05076e+06,91371.7,3.25899e+07,33671.9,7.83908e+07,1.98254,16.0769,1.3641,0.0408554,14.572,0.0150559,,,,,,,,
2023-03-28 17:32:58.967,3.8999,4.66124e+06,2.33992e+06,3.62837e+07,3.05681e+06,87750.8,3.28013e+07,34453.4,7.92652e+07,4.6611e+06,2.33978e+06,3.58904e+07,3.03973e+06,87373.2,3.28013e+07,34453.4,7.88534e+07,1.99211,15.3392,1.29915,0.0373425,14.019,0.0147251,,,,,,,,
2023-03-28 17:32:59.942,4.8747,4.75493e+06,2.24742e+06,3.76379e+07,2.83531e+06,85661.2,3.29285e+07,33211.1,8.05229e+07,4.75479e+06,2.24728e+06,3.72451e+07,2.81826e+06,85284,3.29284e+07,33211.1,8.01116e+07,2.1158,16.5734,1.25408,0.0379499,14.6526,0.0147784,,,,,,,,
2023-03-28 17:33:00.918,5.8501,5.11292e+06,2.37306e+06,3.91005e+07,2.85304e+06,79895.9,3.19396e+07,30856.8,8.14898e+07,5.11279e+06,2.37291e+06,3.87083e+07,2.83602e+06,79519.3,3.19395e+07,30856.8,8.10792e+07,2.15465,16.3126,1.19516,0.0335112,13.4601,0.0130038,,,,,,,,
2023-03-28 17:33:01.892,6.8249,4.86812e+06,2.3566e+06,3.46818e+07,2.8926e+06,82781.7,3.36813e+07,34834.2,7.8598e+07,4.86799e+06,2.35645e+06,3.42901e+07,2.8756e+06,82405.6,3.36813e+07,34834.2,7.8188e+07,2.06581,14.5516,1.22031,0.0349702,14.2932,0.0147825,,,,,,,,
2023-03-28 17:33:02.867,7.7998,5.1586e+06,2.41614e+06,3.79648e+07,2.90232e+06,92339.3,3.23337e+07,35806.1,8.09037e+07,5.15846e+06,2.41599e+06,3.75738e+07,2.88535e+06,91963.8,3.23337e+07,35806.1,8.04944e+07,2.13513,15.5521,1.19427,0.0380646,13.3832,0.0148205,,,,,,,,
2023-03-28 17:33:03.842,8.7746,4.84457e+06,2.38547e+06,3.72269e+07,2.90705e+06,110510,3.5401e+07,39093.1,8.29145e+07,4.84444e+06,2.38532e+06,3.68365e+07,2.89011e+06,110135,3.54009e+07,39093,8.25059e+07,2.03093,15.443,1.21162,0.046172,14.8411,0.016389,,,,,,,,
2023-03-28 17:33:04.817,9.75,5.28737e+06,2.38457e+06,3.75736e+07,3.14586e+06,121400,3.41781e+07,39383.7,8.27303e+07,5.28723e+06,2.38442e+06,3.7184e+07,3.12895e+06,121026,3.4178e+07,39383.7,8.23224e+07,2.21741,15.5946,1.31225,0.050757,14.3339,0.0165171,,,,,,,,
2023-03-28 17:33:05.792,10.7248,5.18659e+06,2.55732e+06,3.83817e+07,3.06538e+06,93558.6,3.11492e+07,36527.6,8.04703e+07,5.18646e+06,2.55717e+06,3.79929e+07,3.04851e+06,93185.1,3.11492e+07,36527.6,8.00632e+07,2.0282,14.8574,1.19214,0.0364407,12.1811,0.0142844,,,,,,,,
