Basline_1
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-05-23 13:30:17.909,0,290,33.33,864897,47308.8,483.34,0,10,913023,83.7012,-100.223,-4272.32,-59.6561,-43.279,-18.9786,3.78975,-4532.36,-0.835151,42.6282,0.595236,0.431829,0.189365,-0.0378133,,,,,,,,
2023-05-23 13:30:18.885,0.9754,150,200,846051,47208.6,473.34,0,0,894083,-56.2583,66.4458,-22670.9,-144.969,-53.2187,-19.0374,-6.28344,-23002.6,-0.846679,-341.194,-2.18177,-0.800933,-0.28651,-0.0945648,,,,,,,,
2023-05-23 13:30:19.859,1.9502,150,33.33,859705,47756.6,553.34,40,0,908238,-56.2178,-100.226,-8569.5,417.988,26.8416,20.9039,-6.35658,-8377.93,0.560912,85.5021,-4.17048,-0.267812,-0.208568,0.0634228,,,,,,,,
2023-05-23 13:30:20.834,2.9251,230,133.33,863085,47599.5,633.34,50,10,911741,23.8227,-0.226995,-4741.76,275.857,106.902,30.8451,3.57026,-4405.33,-104.949,20889.3,-1215.26,-470.945,-135.885,-15.7284,,,,,,,,
2023-05-23 13:30:21.809,3.8999,70,166.67,889693,46503.5,573.34,30,0,937037,-136.137,33.1116,22314,-805.255,46.9623,10.7864,-6.50289,21359.6,-4.11145,673.903,-24.3194,1.4183,0.325759,-0.196393,,,,,,,,
2023-05-23 13:30:22.784,4.8753,170,433.34,867058,46924.5,490.01,10,0,915086,-36.0962,299.78,126.802,-369.278,-36.3073,-9.27238,-6.57608,-121.261,-0.120409,0.422983,-1.23183,-0.121113,-0.0309306,-0.0219363,,,,,,,,
2023-05-23 13:30:23.759,5.8501,220,66.67,839053,46597.1,636.68,50,10,886634,13.9443,-66.8912,-27430.5,-681.831,110.423,30.6689,3.35078,-28104.2,-0.208462,410.077,10.1931,-1.65078,-0.458489,-0.0500929,,,,,,,,
2023-05-23 13:30:24.734,6.825,160,33.33,821379,45898.7,630.01,0,0,868101,-46.0152,-100.233,-44656.4,-1365.25,103.813,-19.3898,-6.72243,-46166.4,0.459084,445.527,13.6208,-1.03572,0.193448,0.0670683,,,,,,,,
2023-05-23 13:30:25.710,7.8004,190,233.33,900270,46714,550.01,10,10,947977,-15.9746,99.7661,34684.1,-534.96,23.8738,-9.44862,3.20414,34181.4,-0.160121,347.654,-5.36214,0.239297,-0.0947077,0.0321165,,,,,,,,
2023-05-23 13:30:26.684,8.7752,200,100,880064,48064,486.67,0,0,928915,-5.93408,-33.5651,14928.1,830.039,-39.4058,-19.5074,-6.86923,15590.7,0.176793,-444.749,-24.7292,1.17401,0.581179,0.204654,,,,,,,,
2023-05-23 13:30:27.659,9.75,270,66.67,894230,47429.1,536.67,20,10,942563,64.1064,-66.8964,29544,210.086,10.6545,0.433911,3.05742,29710.4,-0.958295,-441.638,-3.14046,-0.159269,-0.00648632,-0.0457038,,,,,,,,
2023-05-23 13:30:28.634,10.7249,210,166.67,888925,48658.9,453.34,20,20,938454,4.14698,33.1023,24688.5,1454.81,-72.6151,0.375171,12.9841,26073.3,0.125277,745.823,43.9488,-2.19365,0.0113337,0.392241,,,,,,,,
2023-05-23 13:30:29.609,11.7003,160,300,865873,47502.6,490.01,30,20,914376,-45.8125,166.431,2085.28,313.533,-35.8847,10.3164,12.9108,2465.82,-0.275264,12.5294,1.88386,-0.215613,0.061986,0.0775742,,,,,,,,
2023-05-23 13:30:30.584,12.6751,360,100,856674,47602.9,550.01,30,10,905327,154.228,-33.5703,-6665.44,428.73,24.1757,10.2577,2.8375,-6112.7,-4.59418,198.551,-12.7711,-0.720151,-0.305558,-0.084524,,,,,,,,
2023-05-23 13:30:31.559,13.65,280,466.67,856778,47749.9,543.34,0,0,905818,74.2686,333.098,-6112.83,590.7,17.5661,-19.8011,-7.23571,-5151.12,0.222963,-18.3514,1.77335,0.0527353,-0.0594451,-0.0217225,,,,,,,,
