G_NIST612_6
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-05-23 14:07:05.333,0,74963.6,223695,4.26419e+06,147040,18692.6,154332,9652.63,4.89257e+06,74718,223591,3.50875e+06,102659,18214.9,154304,9647.4,4.09187e+06,0.334172,15.6927,0.459135,0.0814651,0.690114,0.0431474,8.5002,58.381,78283.4,34.1988,39.2164,76.6177,37.884,
2023-05-23 14:07:06.307,0.9749,69152.2,203236,4.44892e+06,151757,17191.2,145400,10773.3,5.04643e+06,68906.5,203133,3.6934e+06,107368,16713.5,145371,10768.1,4.24565e+06,0.33922,18.1822,0.528562,0.0822789,0.715648,0.0530102,8.5002,59.2629,90702,39.3699,39.6079,79.4525,46.544,
2023-05-23 14:07:07.282,1.9497,77724.3,220897,4.33108e+06,151421,18736,160333,9382.48,4.96957e+06,77478.6,220793,3.57548e+06,107025,18258.4,160304,9377.37,4.1687e+06,0.350911,16.1939,0.48473,0.0826947,0.72604,0.0424714,8.5002,61.3055,80782.3,36.1049,39.8078,80.6061,37.291,
2023-05-23 14:07:08.257,2.9246,75324.9,221537,4.42367e+06,146963,18288.9,155926,10072.9,5.05178e+06,75079.2,221433,3.668e+06,102559,17811.3,155897,10067.8,4.25083e+06,0.33906,16.5648,0.46316,0.0804366,0.704035,0.0454666,8.5002,59.2351,82632.2,34.4982,38.7205,78.163,39.9212,
2023-05-23 14:07:09.232,3.8999,73909.6,219143,4.01954e+06,153353,18055.3,154211,10623.2,4.64884e+06,73663.8,219039,3.2638e+06,108942,17577.8,154182,10618.2,3.8478e+06,0.336304,14.9005,0.497362,0.0802497,0.703902,0.0484762,8.5002,58.7535,74329.5,37.0455,38.6302,78.1483,42.564,
2023-05-23 14:07:10.207,4.8748,75284.8,187073,4.03058e+06,151038,18585.8,151620,9872.75,4.62405e+06,75038.9,186969,3.27476e+06,106619,18108.4,151591,9867.82,3.82294e+06,0.401343,17.515,0.570249,0.0968522,0.810779,0.0527777,8.5002,70.1162,87370.7,42.4743,46.6219,90.0138,46.3413,
2023-05-23 14:07:11.182,5.8496,66884.3,201687,3.96054e+06,152241,17841.8,147366,9172.37,4.55573e+06,66638.4,201583,3.20465e+06,107814,17364.4,147337,9167.5,3.75454e+06,0.330576,15.8974,0.534839,0.0861403,0.730899,0.0454776,8.5002,57.7529,79301.3,39.8366,41.4652,81.1453,39.9318,
2023-05-23 14:07:12.158,6.825,69242.5,193705,4.05163e+06,150013,17958.6,160172,8772.17,4.6515e+06,68996.6,193601,3.29568e+06,105579,17481.2,160142,8767.37,3.85022e+06,0.356385,17.023,0.545343,0.0902951,0.827177,0.0452857,8.5002,62.2618,84915.4,40.6189,43.4649,91.8342,39.7635,
2023-05-23 14:07:13.132,7.7998,75575.9,211660,3.79099e+06,152671,17935.2,151771,8762.16,4.40936e+06,75329.9,211556,3.03496e+06,108229,17457.9,151742,8757.42,3.60801e+06,0.356076,14.3459,0.511587,0.0825216,0.717266,0.0413953,8.5002,62.2079,71560.6,38.1045,39.7228,79.6317,36.3478,
2023-05-23 14:07:14.107,8.7747,74009.9,222380,5.04483e+06,155773,19149.7,155199,9392.49,5.68073e+06,73763.9,222276,4.28873e+06,111323,18672.5,155170,9387.81,4.8793e+06,0.331857,19.2946,0.500834,0.0840061,0.698097,0.0422349,8.5002,57.9768,96245.2,37.3034,40.437,77.5034,37.0854,
2023-05-23 14:07:15.082,9.7495,77332.8,192056,4.356e+06,152852,18849.4,149735,9742.68,4.95657e+06,77086.7,191951,3.59983e+06,108395,18372.3,149705,9738.06,4.15505e+06,0.401595,18.7539,0.564703,0.0957131,0.779913,0.0507319,8.5002,70.1603,93547.2,42.0603,46.072,86.5866,44.5467,
2023-05-23 14:07:16.057,10.7249,79762.5,221942,4.04433e+06,156404,18412.3,149180,9112.34,4.67914e+06,79516.4,221838,3.28809e+06,111940,17935.2,149151,9107.79,3.87755e+06,0.358444,14.8221,0.504603,0.0808485,0.672342,0.0410561,8.5002,62.6217,73934.2,37.5838,38.9165,74.644,36.0508,
2023-05-23 14:07:17.032,11.6997,74762.8,216345,4.62616e+06,147299,18145.4,151267,9112.34,5.24309e+06,74516.6,216241,3.86985e+06,102826,17668.4,151238,9107.85,4.44143e+06,0.3446,17.896,0.475518,0.0817069,0.699394,0.042119,8.5002,60.2031,89266.8,35.4174,39.3295,77.6472,36.9844,
2023-05-23 14:07:18.007,12.6746,81831.1,198723,4.4135e+06,150554,18962.9,148837,9062.32,5.02147e+06,81584.8,198619,3.65712e+06,106074,18485.9,148808,9057.9,4.21973e+06,0.410761,18.4128,0.534059,0.0930723,0.749214,0.0456045,8.5002,71.7618,91843.9,39.7775,44.7999,83.1783,40.0453,
2023-05-23 14:07:18.983,13.6502,66643.5,236312,4.35503e+06,152278,18589.2,152578,10303,4.99173e+06,66397.2,236207,3.59858e+06,107790,18112.2,152548,10298.6,4.18991e+06,0.281097,15.2349,0.456337,0.0766794,0.645823,0.0436,8.5002,49.1089,75991.6,33.9885,36.909,71.6996,38.2854,
