PC_samples_10
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-05-23 13:53:09.748,0,196413,2.83654e+06,4.52334e+07,62552.8,132478,7.49217e+06,6311.12,5.59599e+07,196210,2.83634e+06,4.43087e+07,14413.2,131938,7.49214e+06,6307.76,5.49858e+07,0.0691774,15.6218,0.00508163,0.046517,2.64149,0.00222391,38.8,55.1441,358013,1.73344,102.832,1339.54,8.85601,
2023-05-23 13:53:10.724,0.9753,203828,2.87638e+06,4.74488e+07,63265.1,127987,7.08847e+06,6301.12,5.78151e+07,203626,2.87618e+06,4.6524e+07,15123.5,127447,7.08844e+06,6297.78,5.68409e+07,0.0707974,16.1756,0.00525821,0.0443113,2.46453,0.00218964,38.8,56.4354,370702,1.79366,97.955,1249.81,8.71959,
2023-05-23 13:53:11.698,1.9502,206738,2.85906e+06,4.5946e+07,64857.2,118955,6.85317e+06,5710.92,5.60545e+07,206536,2.85886e+06,4.50211e+07,16713.5,118415,6.85314e+06,5707.61,5.50803e+07,0.0722442,15.7479,0.00584623,0.0414202,2.39716,0.00199646,38.8,57.5888,360898,1.99424,91.5634,1215.64,7.95039,
2023-05-23 13:53:12.673,2.925,218829,2.94391e+06,4.63641e+07,66011.1,102089,6.56268e+06,5810.95,5.62634e+07,218627,2.94371e+06,4.54391e+07,17865.5,101549,6.56265e+06,5807.66,5.52891e+07,0.0742691,15.436,0.00606902,0.0344971,2.22938,0.0019729,38.8,59.2029,353746,2.07023,76.2586,1130.56,7.85664,
2023-05-23 13:53:13.649,3.9003,221863,2.86486e+06,4.6978e+07,65837.2,83608.6,6.45407e+06,6371.14,5.66746e+07,221661,2.86466e+06,4.6053e+07,17689.5,83068.5,6.45404e+06,6367.87,5.57003e+07,0.0773777,16.0763,0.00617507,0.0289977,2.25299,0.00222291,38.8,61.6809,368416,2.10639,64.1013,1142.53,8.85229,
2023-05-23 13:53:14.623,4.8752,233548,2.6999e+06,4.41095e+07,65847.2,64905.1,6.29759e+06,6191.08,5.34775e+07,233346,2.6997e+06,4.31844e+07,17697.4,64365,6.29756e+06,6187.84,5.25031e+07,0.0864339,15.996,0.00655533,0.0238415,2.33269,0.00229205,38.8,68.9001,366574,2.2361,52.7028,1182.94,9.12768,
2023-05-23 13:53:15.598,5.8501,233882,2.68346e+06,4.5877e+07,65419.1,46457.3,5.99984e+06,5540.87,5.49116e+07,233680,2.68326e+06,4.49519e+07,17267.2,45917.2,5.99981e+06,5537.65,5.39372e+07,0.0870881,16.7527,0.00643517,0.0171125,2.23602,0.00206378,38.8,69.4216,383913,2.1951,37.8277,1133.92,8.21872,
2023-05-23 13:53:16.573,6.8249,249372,2.59188e+06,4.52972e+07,65562.9,33499.8,5.87561e+06,4640.61,5.41177e+07,249169,2.59168e+06,4.43719e+07,17409,32959.7,5.87558e+06,4637.42,5.31432e+07,0.0961419,17.1209,0.00671725,0.0127175,2.26709,0.00178935,38.8,76.6388,392348,2.29131,28.1122,1149.68,7.12587,
2023-05-23 13:53:17.549,7.8003,272315,2.47673e+06,4.29098e+07,67914.5,22163,5.74299e+06,3580.36,5.14955e+07,272113,2.47653e+06,4.19845e+07,19758.5,21622.9,5.74296e+06,3577.19,5.05209e+07,0.109877,16.953,0.0079783,0.00873115,2.31896,0.00144444,38.8,87.5875,388497,2.72145,19.3002,1175.98,5.75236,
2023-05-23 13:53:18.523,8.7751,298950,2.66278e+06,4.16027e+07,74582.8,15963.4,5.77337e+06,2590.19,5.04309e+07,298748,2.66258e+06,4.06774e+07,26424.6,15423.3,5.77334e+06,2587.05,4.94563e+07,0.112202,15.2774,0.00992443,0.00579261,2.16832,0.00097163,38.8,89.4413,350096,3.38528,12.8045,1099.59,3.86947,
