SrNano_3
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-05-23 13:37:04.489,0,716743,3.38909e+06,5.64544e+07,128792,140932,4.2361e+06,9492.54,6.50756e+07,716544,3.38893e+06,5.56021e+07,81690.1,140412,4.23606e+06,9492.09,6.41751e+07,0.211437,16.407,0.024105,0.0414325,1.24997,0.00280091,,,,,,,,
2023-05-23 13:37:05.464,0.9748,826952,3.42388e+06,5.73481e+07,151861,158098,4.06718e+06,9312.44,6.59854e+07,826752,3.42372e+06,5.64959e+07,104758,157577,4.06714e+06,9311.91,6.5085e+07,0.241478,16.5013,0.0305978,0.0460252,1.18793,0.00271982,,,,,,,,
2023-05-23 13:37:06.439,1.9496,940909,3.51004e+06,5.61892e+07,142690,148745,3.89079e+06,27531.4,6.48499e+07,940709,3.50988e+06,5.5337e+07,95586.7,148225,3.89075e+06,27530.8,6.39496e+07,0.268018,15.7661,0.0272336,0.0422308,1.10851,0.0078438,,,,,,,,
2023-05-23 13:37:07.414,2.925,815266,3.37435e+06,5.61923e+07,132789,139519,3.8749e+06,9952.79,6.45391e+07,815066,3.3742e+06,5.53402e+07,85684.4,138998,3.87486e+06,9952.11,6.36389e+07,0.241559,16.401,0.025394,0.0411944,1.14838,0.00294948,,,,,,,,
2023-05-23 13:37:08.389,3.8999,903200,3.40574e+06,5.76149e+07,127352,124544,4.1427e+06,9552.57,6.6328e+07,903000,3.40558e+06,5.67629e+07,80246.6,124023,4.14266e+06,9551.8,6.54278e+07,0.265153,16.6676,0.0235633,0.0364177,1.21643,0.00280475,,,,,,,,
2023-05-23 13:37:09.364,4.8747,676537,3.52532e+06,5.75618e+07,114356,121796,4.05586e+06,7651.65,6.60633e+07,676337,3.52516e+06,5.67099e+07,67250.3,121275,4.05582e+06,7650.79,6.51633e+07,0.19186,16.0872,0.0190772,0.0344028,1.15053,0.00217034,,,,,,,,
2023-05-23 13:37:10.340,5.8501,642155,3.36806e+06,5.72499e+07,119806,125302,4.09859e+06,8912.24,6.56127e+07,641955,3.3679e+06,5.63981e+07,72699.7,124782,4.09855e+06,8911.29,6.47128e+07,0.19061,16.7458,0.0215861,0.0370503,1.21695,0.00264595,,,,,,,,
2023-05-23 13:37:11.314,6.8249,686640,3.70419e+06,5.65505e+07,119364,132632,4.00816e+06,6561.21,6.5208e+07,686440,3.70403e+06,5.56989e+07,72256.4,132112,4.00812e+06,6560.16,6.43082e+07,0.185322,15.0374,0.0195075,0.035667,1.0821,0.00177109,,,,,,,,
2023-05-23 13:37:12.289,7.7998,624351,3.54446e+06,5.61774e+07,123000,134804,4.01418e+06,12614.5,6.46308e+07,624151,3.5443e+06,5.53259e+07,75892.4,134284,4.01414e+06,12613.3,6.37312e+07,0.1761,15.6098,0.0214125,0.0378872,1.13256,0.00355877,,,,,,,,
2023-05-23 13:37:13.264,8.7746,692243,3.49687e+06,5.87367e+07,139692,134590,3.96372e+06,7391.54,6.71712e+07,692042,3.49671e+06,5.78853e+07,92583.5,134069,3.96368e+06,7390.29,6.62716e+07,0.197913,16.5542,0.0264773,0.0383414,1.13355,0.0021135,,,,,,,,
2023-05-23 13:37:14.239,9.75,673815,3.28204e+06,5.64089e+07,138295,127356,3.87289e+06,12284.3,6.45156e+07,673615,3.28188e+06,5.55577e+07,91186.4,126835,3.87285e+06,12282.9,6.36162e+07,0.205253,16.9286,0.0277848,0.0386472,1.18007,0.00374264,,,,,,,,
2023-05-23 13:37:15.214,10.7248,673039,3.39697e+06,5.69556e+07,142264,132293,3.84922e+06,6821.31,6.51562e+07,672838,3.39681e+06,5.61045e+07,95155.4,131772,3.84918e+06,6819.83,6.4257e+07,0.198079,16.5168,0.0280131,0.038793,1.13317,0.00200772,,,,,,,,
2023-05-23 13:37:16.189,11.6997,693796,3.66168e+06,5.5946e+07,148733,138797,3.94612e+06,8792.18,6.45439e+07,693596,3.66152e+06,5.50951e+07,101625,138276,3.94608e+06,8790.59,6.36449e+07,0.189428,15.0471,0.0277547,0.0377645,1.07772,0.0024008,,,,,,,,
2023-05-23 13:37:17.164,12.675,684590,3.42819e+06,5.78481e+07,151196,148591,3.94092e+06,17618.8,6.62192e+07,684389,3.42803e+06,5.69975e+07,104087,148070,3.94088e+06,17617,6.53204e+07,0.199645,16.6269,0.0303635,0.0431939,1.1496,0.00513912,,,,,,,,
