Site name,Site,Site_Group,SampleYear,Sample,Sr87Sr86_rf,Source,Type,System,Ordering,Ordering_boot,System_type,Comments
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70383,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70382,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70406,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70382,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70385,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70382,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70431,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70383,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Battle Creek,BAT,LAS,1999,Juvenile Salmon,0.70385,Barnett Johnson et al 2008 (L&O),River,SAC_system,1,1,SAC_system_River,
Deer Creek,DEE,LAS,1998,Water,0.70408,Ingram & Weber 1999 (Geology),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,1998,Water,0.70409,Ingram & Weber 1999 (Geology),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,1998,Water,0.70408,Ingram & Weber 1999 (Geology),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,1998,Water,0.70413,Ingram & Weber 1999 (Geology),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,1998,Water,0.70405,Ingram & Weber 1999 (Geology),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,2002,Juvenile Salmon,0.70411,Barnett Johnson et al 2008 (L&O),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,2002,Juvenile Salmon,0.7041,Barnett Johnson et al 2008 (L&O),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,2002,Juvenile Salmon,0.70407,Barnett Johnson et al 2008 (L&O),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,2002,Juvenile Salmon,0.70417,Barnett Johnson et al 2008 (L&O),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,2002,Juvenile Salmon,0.7041,Barnett Johnson et al 2008 (L&O),River,SAC_system,2,3,SAC_system_River,
Deer Creek,DEE,LAS,2002,Juvenile Salmon,0.70416,Barnett Johnson et al 2008 (L&O),River,SAC_system,2,3,SAC_system_River,
